tokens,caracteres,palabras_unicas
110,657,62
45,256,23
66,416,49
123,714,47
29,189,17
129,791,83
62,362,45
110,660,38
36,223,35
46,291,33
40,236,19
53,296,19
110,669,42
54,330,30
52,316,30
84,513,59
62,381,54
45,287,27
108,733,93
54,347,38
86,561,35
97,541,45
169,1009,92
64,412,38
132,797,72
102,681,85
57,386,55
69,387,28
77,381,19
56,316,22
24,142,22
54,289,17
104,635,43
32,203,17
48,262,21
42,286,33
98,632,44
39,218,27
78,455,56
134,797,81
120,777,52
30,180,26
31,182,27
67,418,61
46,270,23
101,609,50
60,414,45
26,141,24
51,332,45
25,150,22
123,760,77
31,167,18
84,570,57
82,462,35
30,188,20
82,494,9
57,327,32
51,418,30
45,256,34
139,806,95
90,531,67
62,363,16
61,350,33
61,365,55
42,276,23
43,264,41
78,463,54
35,198,22
24,131,12
42,246,27
65,456,58
62,342,43
82,501,54
4,28,4
79,486,30
64,400,30
56,359,40
69,423,33
62,514,43
69,394,28
83,443,26
37,195,21
52,341,43
73,461,52
12,97,9
83,514,38
52,283,20
136,820,105
165,1050,47
62,369,24
44,291,6
67,435,24
142,945,44
45,282,36
58,367,55
43,249,24
42,277,25
27,153,22
108,591,32
26,152,15
55,356,32
47,336,34
110,654,60
41,257,13
47,275,22
42,305,29
103,661,35
27,157,23
30,177,15
161,1036,117
195,1210,145
62,400,48
35,208,27
27,186,23
92,525,50
32,186,27
89,530,51
93,641,43
28,175,26
60,367,30
51,294,33
152,851,45
84,491,38
52,346,28
37,225,22
85,467,29
33,189,24
106,608,67
119,674,37
20,114,16
22,152,20
89,625,64
33,209,17
35,187,12
44,289,26
60,352,30
33,191,24
48,264,16
17,121,16
148,837,48
45,251,37
80,503,32
99,562,37
37,199,17
15,111,13
58,383,32
45,278,24
176,1151,52
73,368,7
33,211,17
41,312,21
88,525,35
67,415,16
23,135,20
66,404,33
94,586,60
174,1045,139
56,317,24
41,290,25
87,479,36
20,124,18
143,839,100
18,122,17
29,171,29
86,516,44
110,691,57
41,266,23
39,234,24
77,481,41
55,311,28
46,305,19
32,184,18
54,319,27
36,203,20
32,171,28
81,498,50
83,448,34
33,211,28
38,217,28
36,187,6
91,516,41
60,376,36
29,158,21
82,503,49
86,554,69
23,149,17
49,261,11
101,628,52
78,443,32
65,400,33
159,1020,120
27,178,21
36,215,25
22,125,13
64,433,44
154,910,91
33,225,15
157,873,58
41,259,38
115,769,50
40,208,18
125,698,32
61,438,13
153,918,84
30,184,27
73,445,44
66,420,54
38,219,16
66,352,25
36,207,13
80,485,53
44,267,30
120,714,62
37,237,20
173,1094,148
72,457,53
47,279,32
48,280,26
51,322,23
19,127,15
46,252,32
110,706,88
44,266,29
100,625,41
157,980,105
71,465,35
79,447,27
33,212,22
68,422,25
72,403,36
91,535,43
162,996,114
42,254,24
39,232,30
70,429,61
30,215,28
76,461,47
57,345,40
81,463,30
48,259,27
57,321,26
81,567,55
105,636,50
37,232,15
43,291,38
105,748,52
46,295,34
38,217,14
81,497,41
43,266,17
44,257,18
54,315,23
172,1026,77
187,1145,126
44,262,34
49,309,38
50,303,21
61,350,28
40,241,28
116,669,58
58,342,28
103,599,56
70,402,56
46,258,26
33,182,26
86,498,36
86,483,35
63,410,36
71,422,25
107,605,48
57,301,24
45,351,29
78,461,28
71,425,37
43,269,25
40,235,25
73,455,47
76,463,50
199,1413,99
34,211,19
58,329,26
56,343,42
109,676,44
78,519,43
85,557,45
43,255,31
54,306,36
96,599,52
63,352,50
94,565,61
61,367,32
35,193,18
117,732,104
103,661,57
46,251,26
70,477,52
49,345,23
174,1084,140
190,1119,89
56,334,24
71,423,48
43,257,22
50,354,26
137,814,64
37,196,15
103,616,37
108,678,34
126,762,65
45,267,25
70,368,42
172,1084,104
47,300,34
29,196,26
69,440,54
7,46,7
62,347,31
125,744,62
112,710,63
104,644,55
22,118,21
62,404,39
71,449,54
26,160,14
34,221,14
92,588,72
94,555,48
72,395,38
50,290,30
72,398,31
44,262,32
48,267,32
79,447,32
140,925,103
86,587,68
115,729,59
36,205,28
62,387,49
99,673,76
47,313,29
34,186,24
36,216,21
68,365,39
98,576,30
39,248,21
174,1013,79
189,1224,154
65,429,32
52,289,31
56,302,17
46,287,29
36,248,25
47,296,27
44,282,42
106,667,61
75,451,42
79,476,56
101,571,81
19,138,15
46,267,18
47,301,33
114,700,66
82,509,38
48,306,25
48,311,38
73,383,25
61,390,37
50,290,23
128,813,79
67,390,41
85,469,33
59,368,28
126,792,96
39,208,23
56,322,17
24,150,11
32,199,13
41,241,34
83,449,32
64,375,16
86,564,28
83,463,26
22,143,22
148,864,85
19,114,10
181,1172,131
169,1102,103
33,195,24
56,337,41
91,584,61
44,295,31
76,493,47
29,174,19
59,364,22
23,167,18
55,332,24
102,620,54
76,461,44
130,791,84
151,1025,42
34,196,23
47,271,24
55,285,23
38,222,20
138,819,53
120,776,30
76,458,20
33,196,13
84,492,35
136,974,98
116,698,81
52,303,29
85,537,56
104,627,65
61,363,37
35,192,24
44,261,27
25,177,21
43,278,36
54,401,28
78,476,43
37,250,17
44,245,27
38,231,29
63,357,32
48,290,32
191,1120,152
43,226,23
41,243,28
65,354,11
38,216,31
23,143,18
28,169,18
141,922,101
48,295,33
66,474,62
61,365,36
41,244,37
129,785,52
150,891,53
62,388,30
53,314,22
55,340,28
74,440,38
41,241,26
43,248,24
190,1167,153
119,661,28
18,97,16
50,303,34
14,84,9
114,697,90
57,385,51
78,456,30
31,185,28
32,177,23
93,536,37
16,103,13
50,289,29
59,398,50
75,448,15
23,132,13
83,501,30
121,729,53
123,742,65
88,506,25
67,432,32
96,635,65
63,347,33
112,688,76
5,25,5
107,623,52
44,238,33
29,178,25
85,523,45
55,351,47
26,147,22
89,521,50
52,376,23
75,463,36
91,563,73
166,1080,89
31,178,27
121,704,55
70,338,19
128,786,52
64,433,30
109,685,48
136,884,68
57,371,25
73,385,43
76,415,35
147,845,60
63,373,51
135,865,97
181,1185,151
60,372,42
63,353,29
160,982,142
57,300,24
100,683,82
131,829,60
40,266,24
66,379,39
36,198,20
157,930,102
104,663,72
79,459,19
20,122,18
54,316,44
63,397,36
62,365,34
43,264,18
144,878,49
63,320,27
88,564,59
80,534,49
49,279,28
135,854,114
42,284,5
56,331,28
66,393,49
93,552,55
97,621,84
106,656,35
88,581,53
83,425,24
36,228,9
33,206,21
84,526,30
43,229,13
28,179,23
54,325,46
92,600,53
58,355,41
72,442,50
28,154,15
65,364,26
70,457,29
47,261,16
44,247,23
42,295,25
115,696,71
52,328,30
28,149,13
66,409,59
135,820,42
93,559,55
22,177,16
126,813,108
56,328,45
161,918,63
51,336,44
153,998,98
124,811,99
166,970,127
58,425,43
65,375,28
40,231,28
123,730,94
82,518,65
52,353,8
142,859,117
47,273,31
72,420,40
63,366,18
65,398,56
24,141,21
43,269,34
152,896,92
34,199,31
106,637,29
32,176,23
62,349,32
46,257,14
144,818,41
59,364,50
81,551,56
114,671,96
31,188,20
123,752,42
40,237,37
52,314,36
26,156,16
152,972,54
56,326,24
96,568,49
61,388,52
81,451,28
37,217,22
51,322,31
184,1175,140
19,108,11
73,466,23
41,226,26
39,236,36
164,1026,124
77,499,54
107,704,89
38,223,27
162,1072,144
17,100,11
119,771,41
70,461,37
74,422,33
44,320,26
141,765,42
69,473,43
100,646,40
60,405,39
76,433,44
90,573,36
71,454,43
39,222,20
40,234,21
35,258,27
92,615,32
121,772,89
54,308,19
37,254,36
123,658,44
70,373,28
49,297,30
61,366,25
59,370,30
66,438,35
108,648,62
68,397,24
76,468,25
105,648,40
36,215,34
35,235,19
56,313,30
59,331,30
51,277,20
27,163,21
149,945,56
73,422,26
44,247,25
51,323,34
34,214,26
42,239,36
78,465,29
33,212,18
57,377,43
123,786,16
131,788,40
46,254,29
47,281,35
58,346,48
57,324,27
105,601,46
44,266,23
66,434,50
103,653,71
100,673,93
18,107,3
85,475,32
67,408,38
59,401,22
167,1111,153
79,487,36
126,783,112
145,900,97
44,271,29
163,1008,98
55,354,34
51,288,32
46,282,22
77,471,27
59,335,30
45,246,21
123,746,59
87,574,68
154,887,59
80,451,42
42,266,31
23,145,15
162,951,49
138,877,78
84,557,43
59,470,58
40,230,24
40,262,35
42,252,34
68,379,35
61,351,53
24,147,13
96,516,50
52,315,39
55,326,34
37,260,26
34,206,28
115,678,35
52,327,21
48,294,47
83,521,49
91,522,31
115,719,92
52,301,30
81,451,25
69,481,48
53,335,27
110,675,31
86,528,32
181,1148,91
37,223,23
22,134,13
32,203,23
29,149,18
54,314,33
168,1020,122
66,388,38
30,181,21
26,169,26
7,44,6
87,503,74
106,745,57
66,396,38
27,156,23
45,196,17
75,513,34
136,847,44
57,333,37
65,410,36
42,268,25
66,415,30
76,492,30
151,933,80
87,554,30
20,110,15
24,155,17
83,534,36
64,379,40
50,301,45
132,786,95
58,363,28
124,833,91
71,373,27
51,310,39
79,536,35
79,446,40
49,314,34
131,777,56
29,170,22
26,147,16
91,688,43
22,128,13
72,457,45
49,282,42
64,405,37
138,800,14
81,494,72
67,391,42
72,394,49
39,256,26
80,431,21
116,683,58
59,321,16
67,362,7
25,145,22
56,362,30
73,416,42
97,534,41
54,330,24
89,507,32
75,479,35
42,249,16
66,377,40
88,491,49
43,240,13
55,354,36
84,486,50
115,707,82
55,347,19
13,78,12
101,557,46
22,138,16
61,421,31
106,581,27
64,375,46
29,204,23
197,1174,138
46,319,30
62,356,32
43,277,26
131,799,68
114,595,35
56,336,35
56,349,51
65,408,29
170,1135,67
88,545,38
56,341,46
88,516,56
39,228,17
172,1057,104
62,345,36
116,636,27
34,225,24
39,241,34
99,614,81
44,263,30
74,473,29
87,524,40
88,591,37
46,273,30
106,666,62
37,213,14
78,466,44
138,934,71
58,308,22
105,597,32
143,904,62
69,431,40
88,595,50
24,163,19
29,161,17
144,890,129
138,979,73
43,263,22
59,400,43
55,330,43
105,668,33
130,840,77
75,449,36
113,749,41
114,806,67
31,198,25
109,711,22
72,427,30
43,287,36
97,575,34
63,410,42
113,731,35
20,113,15
120,696,41
90,492,28
44,256,10
117,761,77
144,886,66
73,440,41
17,82,9
56,326,33
44,265,36
28,163,22
36,197,20
143,838,58
62,382,38
35,198,25
38,216,33
53,331,38
55,319,43
189,1307,162
58,344,32
63,353,36
84,511,38
51,330,28
38,208,13
37,214,33
80,445,35
80,442,31
46,251,22
172,1127,114
68,381,31
58,384,22
15,78,6
80,553,51
24,165,15
18,115,15
96,534,41
127,798,63
42,234,27
31,178,17
31,194,26
25,155,14
20,116,15
37,196,16
78,477,43
26,143,16
62,357,31
47,301,30
26,174,20
169,968,102
68,433,41
49,272,17
28,161,18
113,671,65
45,302,42
107,700,56
93,468,35
23,152,19
31,180,16
96,513,10
33,190,16
45,242,13
60,365,35
73,447,29
72,420,43
64,419,39
82,539,29
80,518,66
50,300,39
68,433,41
123,727,41
37,227,27
46,281,13
26,148,21
95,544,50
64,368,45
21,120,11
48,297,42
74,472,48
122,665,29
76,454,57
61,349,26
31,190,29
104,703,82
185,1111,106
37,216,24
49,282,25
48,289,26
29,163,27
94,573,61
94,506,21
27,168,17
25,145,24
106,677,81
57,321,23
137,757,37
33,203,21
66,423,48
50,315,37
68,411,37
59,338,24
105,630,78
19,97,11
26,159,15
90,556,63
37,216,32
90,518,59
52,344,48
71,445,31
88,542,52
55,340,40
52,319,41
57,319,25
31,164,16
46,288,19
64,463,32
19,97,13
32,206,31
113,759,37
67,416,44
64,400,45
182,1271,58
42,265,13
86,561,43
48,301,39
33,209,19
60,368,41
67,379,48
191,1124,161
71,444,49
139,885,80
59,327,35
76,510,70
76,450,35
183,1248,95
65,432,40
53,307,40
13,76,11
100,640,53
110,716,40
50,365,8
23,143,12
43,249,22
53,316,38
37,214,23
43,258,37
33,202,24
12,90,12
129,834,49
65,378,34
101,534,37
62,347,37
34,203,30
185,1119,117
28,148,11
67,429,33
118,678,45
70,378,35
33,172,16
74,456,33
83,504,28
119,746,63
62,355,46
77,496,38
85,523,28
41,231,28
16,97,15
79,436,34
45,320,9
41,244,22
29,165,21
72,414,54
147,951,34
61,479,43
183,1135,146
77,465,29
77,513,47
128,776,65
91,520,20
29,162,20
21,119,12
98,568,20
74,523,34
199,1231,71
107,653,66
26,150,18
132,788,60
87,491,23
64,395,18
27,173,24
112,648,68
46,305,28
61,346,26
168,1000,105
48,295,34
97,583,33
51,299,35
20,122,18
118,675,60
81,504,53
36,196,22
103,562,49
44,252,32
60,350,34
70,433,24
132,758,60
49,282,31
57,394,45
95,581,68
65,370,23
49,290,28
110,663,42
87,511,45
47,274,21
37,236,35
64,392,44
81,499,31
33,209,30
51,323,43
147,856,61
184,1048,100
47,252,25
15,83,11
57,380,34
131,785,50
51,319,29
132,801,37
37,223,25
27,158,18
52,351,51
49,268,19
31,180,26
63,393,16
28,168,20
62,360,32
71,405,35
100,566,38
86,505,39
90,549,48
63,381,23
95,581,46
41,241,33
83,473,57
34,207,23
29,181,29
39,226,34
81,522,35
50,370,48
186,1180,129
78,480,64
54,292,30
82,547,45
39,245,28
140,823,116
173,1151,68
59,375,49
99,564,48
46,283,33
199,1284,135
46,259,35
48,263,25
34,217,16
40,279,25
29,169,22
98,710,81
57,369,46
43,250,19
60,387,8
43,273,21
109,677,44
82,505,48
66,378,28
166,897,49
83,452,34
106,717,102
57,333,46
133,843,57
16,97,4
48,300,34
52,276,18
139,907,81
30,192,18
41,215,15
153,901,80
74,428,35
14,101,8
137,830,102
135,776,83
61,359,17
73,481,61
43,282,25
61,365,44
59,358,39
37,210,27
87,555,23
70,380,16
40,235,12
34,214,9
41,239,26
71,437,46
55,325,44
125,849,91
78,454,41
137,803,105
68,396,23
60,355,46
80,474,40
40,277,36
105,611,38
126,760,61
74,417,30
44,245,18
63,380,28
59,380,36
37,234,27
116,808,109
57,332,37
39,240,19
155,965,70
54,337,17
54,329,29
59,330,33
99,593,46
99,586,35
29,157,14
46,286,33
78,468,24
23,134,18
85,554,33
90,533,29
102,630,81
26,144,15
53,329,45
53,344,38
45,259,37
153,1011,103
60,380,30
111,708,95
51,306,32
181,1200,157
89,927,89
26,155,20
85,538,75
81,529,27
90,491,28
44,278,32
73,426,49
70,384,32
104,671,81
100,579,58
95,553,67
20,189,5
67,429,49
36,222,25
47,310,34
171,1072,133
65,367,24
20,122,14
154,876,63
21,125,15
58,370,30
126,776,100
104,564,42
62,337,20
56,339,37
43,249,36
101,553,39
65,391,31
44,259,22
32,204,29
33,226,28
90,574,35
62,428,56
68,375,24
28,143,5
39,176,21
60,367,30
56,313,39
62,421,18
75,429,34
104,740,42
123,800,28
179,1187,79
90,546,54
37,197,19
56,317,22
92,529,11
102,682,60
36,203,9
116,631,27
55,355,35
85,539,69
166,968,78
6,47,6
124,767,63
61,372,40
57,364,27
66,413,29
90,593,70
107,622,33
30,218,22
162,885,94
39,241,31
124,782,31
111,701,33
6,36,6
40,265,18
172,1006,129
108,769,45
142,989,69
53,325,36
128,865,102
58,355,32
169,998,116
45,266,22
77,517,26
48,315,25
65,368,39
28,145,12
68,415,62
102,621,51
78,481,34
61,435,11
59,364,45
34,204,27
27,150,14
33,197,22
53,326,29
93,533,43
150,994,47
24,134,21
55,297,33
5,34,3
77,429,36
45,279,35
22,117,15
44,269,30
53,342,21
102,701,41
44,244,33
28,162,17
32,218,23
38,225,23
18,100,16
61,387,29
58,341,24
80,473,23
97,588,27
24,137,15
31,184,24
75,457,43
60,397,27
182,1098,122
49,278,16
70,389,25
97,639,31
46,288,41
45,288,33
47,279,40
56,258,21
63,365,27
71,422,57
69,422,22
69,447,59
27,186,20
156,887,81
133,748,51
5,34,5
118,749,94
131,927,53
88,521,39
43,273,39
76,470,40
61,324,6
42,226,29
36,207,22
65,368,33
66,430,39
44,253,33
35,195,11
28,161,17
128,792,104
54,327,29
111,666,74
107,668,29
47,286,30
97,750,16
153,1031,107
117,660,37
109,591,19
87,531,44
60,361,51
45,244,16
23,155,16
37,227,26
93,565,57
77,453,9
36,220,15
55,326,36
7,46,7
104,589,32
65,393,21
55,326,17
72,446,55
76,481,68
46,274,19
70,427,20
76,492,55
26,183,25
54,310,35
57,332,35
197,1308,146
55,340,43
93,599,36
84,512,67
56,343,38
101,663,91
58,347,25
40,230,28
67,331,27
77,446,65
139,729,40
133,835,52
49,289,28
133,848,103
18,104,14
141,836,63
107,680,74
24,162,24
13,87,8
52,328,42
138,982,92
161,915,58
30,203,15
52,309,32
34,214,27
18,90,6
61,343,22
122,709,86
119,761,62
33,202,13
40,240,32
43,291,32
157,849,48
17,102,6
80,470,54
25,155,18
188,1146,139
42,264,38
54,344,45
55,332,51
72,425,39
45,281,22
102,643,17
89,512,46
100,584,41
35,222,25
29,192,22
60,381,36
43,247,29
93,509,23
31,168,18
22,132,19
80,480,47
183,1123,131
86,466,38
20,132,12
199,1189,158
67,379,23
195,1135,135
60,318,26
59,358,36
86,512,51
27,156,15
148,936,92
60,351,53
72,421,28
29,188,21
161,993,107
68,371,30
46,273,34
37,239,16
75,498,55
59,322,21
29,185,22
87,464,46
7,43,7
41,261,38
57,332,17
58,362,36
40,261,21
50,282,23
42,261,32
168,1195,64
121,721,59
36,221,18
32,199,27
56,367,43
54,326,39
22,127,11
170,1172,59
73,422,30
67,440,35
57,332,29
60,342,23
47,309,32
14,92,13
75,473,48
62,385,50
44,243,15
47,297,39
150,920,132
73,445,43
29,164,17
74,435,46
79,461,19
78,460,34
171,1043,87
60,370,38
31,184,23
16,100,14
71,447,40
76,425,43
6,32,5
26,161,18
47,306,24
175,1111,87
80,584,66
75,425,30
143,903,50
71,422,42
28,196,23
58,321,21
139,805,57
47,269,22
2,10,2
127,769,71
40,213,32
104,608,81
28,153,26
27,178,17
56,333,31
29,193,22
67,392,54
99,611,63
103,663,88
70,400,28
40,212,24
25,168,18
58,351,37
56,319,27
51,300,28
79,469,46
56,347,31
148,928,122
63,364,39
113,750,34
65,376,34
62,357,33
46,268,19
51,356,42
50,318,34
44,262,30
91,563,52
28,159,23
56,357,47
49,322,31
13,72,12
57,331,32
55,351,38
43,247,25
184,1067,101
160,955,79
124,720,48
39,240,30
24,137,19
59,329,23
67,430,56
82,540,51
163,971,44
76,539,30
165,995,54
114,655,60
90,524,34
63,418,27
57,244,10
37,207,19
65,379,39
38,229,25
52,308,36
43,280,27
70,408,27
59,343,25
20,127,20
59,366,49
30,173,12
123,683,45
29,199,16
40,252,31
107,620,46
72,487,55
36,202,22
172,1109,101
173,1145,154
108,598,58
60,340,30
107,669,48
30,179,14
69,391,28
13,61,7
109,648,38
49,291,23
28,160,23
173,1101,130
23,140,21
197,1109,37
77,503,41
11,67,6
32,161,14
62,407,41
197,1175,94
30,178,17
134,946,73
92,651,29
97,642,22
53,302,41
38,223,31
80,492,29
64,359,23
111,709,36
60,379,41
108,701,26
159,1040,66
49,310,32
59,295,14
50,315,33
91,561,51
36,268,31
82,567,45
112,794,105
56,310,25
61,361,31
42,246,33
19,112,13
37,250,36
101,591,34
57,324,35
86,556,54
102,578,54
116,746,90
90,557,70
42,257,31
37,226,24
55,338,29
54,358,49
31,184,29
63,397,56
15,88,10
113,695,49
73,443,32
33,207,15
47,274,9
70,390,44
186,1208,132
72,444,31
48,292,32
97,535,54
35,214,26
111,721,62
58,326,31
166,1054,108
43,243,29
51,313,24
123,763,62
79,547,35
135,825,120
26,146,14
47,271,17
173,1047,55
77,476,47
180,1113,126
61,382,34
28,181,28
126,763,94
30,192,29
147,860,83
77,408,28
50,290,39
53,300,28
19,117,17
66,435,64
49,276,32
161,987,113
72,450,40
63,405,41
52,340,29
109,723,48
21,122,21
36,212,19
159,961,102
103,674,49
55,328,14
102,583,52
139,804,81
37,208,24
112,735,103
79,506,29
63,380,42
67,427,52
34,201,20
22,110,11
73,411,22
31,195,30
58,352,39
49,291,27
34,200,16
37,208,17
55,294,27
34,196,26
43,262,31
58,331,28
83,492,45
8,47,7
51,339,24
69,418,37
30,171,11
32,186,19
61,367,33
45,235,17
22,109,1
99,670,54
106,669,60
68,386,33
86,511,37
61,350,29
99,567,49
62,354,22
54,318,34
56,334,39
87,541,20
46,311,27
133,737,25
35,196,25
30,176,15
14,96,10
45,294,18
151,933,89
184,1125,112
44,290,34
160,1006,69
95,569,32
60,348,48
32,190,27
176,1114,127
132,870,112
50,296,36
25,164,18
27,174,25
79,500,52
162,940,65
44,215,17
32,185,19
20,139,10
174,1022,79
58,324,29
80,432,38
23,141,11
94,571,33
105,691,76
31,176,28
72,472,28
59,370,28
31,184,27
56,404,36
62,401,50
46,270,14
56,367,35
49,346,36
55,366,37
82,447,35
17,95,13
50,352,47
44,251,19
41,280,38
199,1231,163
71,428,28
24,145,15
130,752,48
195,1202,145
19,121,17
79,494,60
16,80,10
66,453,48
54,337,29
16,96,13
87,594,27
36,191,13
47,260,20
35,220,34
173,1139,145
93,591,79
151,926,120
90,541,50
149,864,65
92,554,84
13,84,13
122,755,68
116,709,87
49,280,28
97,624,53
57,389,34
52,283,35
54,357,37
65,404,23
41,265,20
23,137,19
18,101,14
52,279,24
47,269,26
100,610,44
29,213,23
105,701,40
37,233,17
53,294,24
48,280,13
82,628,59
20,117,13
37,233,31
44,258,25
39,217,15
108,680,28
58,347,29
139,820,97
26,141,24
4,20,4
113,692,42
72,427,43
27,194,12
46,299,23
53,321,49
111,677,82
79,495,47
58,375,26
36,247,24
175,1099,139
53,319,19
80,536,34
67,384,21
46,266,25
59,336,26
75,467,65
166,1151,129
142,969,116
104,601,44
68,445,26
53,319,33
91,536,46
54,317,19
60,382,23
67,498,41
47,268,31
87,602,74
96,561,48
118,676,41
42,264,30
90,546,43
77,505,39
25,132,15
154,1049,116
87,554,41
53,326,22
42,223,14
53,329,30
34,184,21
76,455,37
85,502,34
36,217,13
44,247,31
70,409,47
23,135,18
68,408,31
83,502,70
86,482,34
37,268,15
43,256,35
172,1067,133
157,917,71
66,382,42
102,592,54
51,322,30
175,1227,154
76,455,48
124,827,82
61,378,24
58,376,27
79,486,41
61,338,34
89,553,55
29,156,18
154,944,58
91,596,50
37,201,31
48,290,29
37,205,22
29,168,25
41,275,21
119,711,94
71,513,29
25,154,19
46,302,20
59,439,40
31,177,19
66,379,33
28,167,20
80,533,58
44,254,24
100,647,82
42,297,36
36,220,24
71,427,15
87,584,62
75,419,40
56,346,44
25,176,24
69,456,51
74,484,69
26,162,17
58,327,20
76,447,29
59,398,45
173,1184,114
154,916,101
132,870,90
67,451,26
67,431,57
50,309,41
56,358,54
60,354,25
157,978,116
24,126,18
79,436,24
94,688,36
45,272,29
35,252,35
138,852,60
61,369,40
24,143,11
63,355,33
93,552,42
57,300,21
48,291,21
49,265,27
121,784,102
41,252,21
68,409,38
32,190,15
114,765,57
39,222,33
69,403,27
44,258,26
40,221,29
81,523,39
54,336,47
164,1082,67
44,239,17
45,242,21
86,550,34
38,218,35
180,1144,138
54,344,16
84,462,32
162,964,92
39,265,34
83,551,67
88,698,40
115,661,59
90,496,34
33,200,27
180,1075,118
181,1159,86
143,852,77
132,803,29
55,310,38
47,306,25
40,225,31
47,248,17
67,404,39
125,767,43
24,142,22
91,536,45
199,1231,68
176,1011,66
32,194,30
73,400,37
170,946,77
57,320,36
80,520,35
39,243,12
134,829,48
82,517,48
44,220,9
118,734,54
49,265,24
178,1165,152
20,113,16
71,457,16
94,578,82
36,218,31
83,447,21
45,226,13
49,316,32
54,307,36
57,352,29
50,296,26
39,247,17
41,251,19
73,471,42
37,207,19
187,1100,126
106,712,62
100,615,26
28,162,26
98,574,38
170,994,126
54,333,23
65,391,48
101,651,46
52,331,27
66,398,29
180,1040,132
46,276,29
27,199,16
97,582,62
143,812,41
14,76,5
51,284,26
116,711,54
52,371,30
38,224,27
108,641,75
69,407,36
36,232,26
80,534,68
81,477,26
155,988,37
42,266,29
82,436,29
84,514,70
39,245,31
22,120,21
29,202,24
143,897,106
76,510,47
164,1020,95
44,268,24
20,140,18
68,401,51
72,413,26
53,301,32
55,343,26
92,537,37
43,267,26
105,649,72
39,219,29
38,210,28
126,819,47
29,175,19
26,158,17
46,251,32
51,328,22
57,324,35
48,294,24
90,540,35
27,152,21
62,380,32
95,561,29
71,383,32
197,1102,92
164,1127,109
63,338,27
69,439,29
55,346,45
135,1022,73
40,218,25
49,324,30
63,512,60
72,467,46
118,739,61
22,154,13
50,296,38
112,695,57
120,683,57
69,393,32
76,444,14
63,422,34
29,171,21
46,276,22
22,129,11
36,198,31
29,176,25
52,354,32
50,340,35
72,446,59
26,168,21
51,303,34
108,666,69
46,247,16
33,229,21
51,326,23
119,748,86
52,330,30
106,647,68
49,293,26
23,163,10
19,111,9
104,655,80
108,712,38
186,1206,132
50,285,13
42,237,28
41,229,28
59,392,24
135,784,90
19,117,12
3,14,1
16,102,12
146,905,110
39,225,27
14,84,13
52,293,21
63,378,45
28,162,13
148,939,106
44,258,27
62,361,35
133,943,40
110,640,50
44,291,16
197,1262,156
45,269,34
39,267,28
75,430,40
97,632,49
78,457,43
16,97,8
74,417,39
51,329,23
147,865,54
194,1200,115
117,643,41
60,345,33
78,521,35
40,217,31
85,490,34
48,288,31
72,456,53
54,317,40
1,6,1
28,189,24
62,381,50
140,838,89
142,808,31
30,168,21
48,289,44
173,1018,48
47,259,22
132,788,50
81,504,42
75,454,44
24,174,24
46,302,29
69,442,59
90,586,50
186,1277,168
196,1224,141
160,987,123
60,384,39
47,262,37
56,362,34
37,221,33
74,424,25
59,331,25
58,363,41
128,773,106
43,300,19
36,221,17
22,134,18
28,163,20
100,649,42
8,50,3
148,823,76
11,79,11
103,696,52
58,344,21
53,301,32
46,261,32
40,260,33
28,160,16
44,253,24
27,199,24
123,764,45
45,281,32
122,793,89
37,225,22
146,981,54
49,298,26
59,393,45
150,951,29
121,713,43
110,763,92
76,465,32
52,313,34
36,219,26
18,97,2
73,516,38
106,563,34
103,576,42
50,295,18
47,278,30
88,508,55
36,228,26
63,380,39
85,516,27
96,567,39
19,135,11
25,153,25
32,224,29
100,622,96
73,483,38
33,249,26
62,379,35
34,190,20
71,389,33
25,100,3
182,1089,79
60,346,38
47,266,26
199,1214,138
172,1062,157
64,377,30
193,1270,150
28,156,18
48,260,24
83,508,65
51,288,34
25,112,12
51,336,39
53,329,40
148,867,70
76,482,39
68,413,40
64,383,24
30,161,9
57,392,36
55,335,35
56,376,44
80,491,57
16,102,7
38,222,30
30,241,26
61,449,28
104,643,46
77,505,55
73,427,56
75,482,49
23,140,17
26,161,13
45,296,21
138,834,56
52,323,27
18,110,17
25,129,14
53,300,47
27,161,21
54,320,29
42,260,32
112,625,33
89,514,41
34,199,8
95,548,48
61,412,43
32,194,20
103,640,58
60,346,37
47,279,30
118,708,65
79,459,40
94,601,42
45,283,32
48,303,43
101,620,82
33,187,26
36,236,24
46,266,32
76,535,38
89,540,45
28,161,16
68,413,57
71,433,52
30,204,29
78,506,69
24,162,22
41,308,10
65,401,42
61,359,34
58,304,30
23,140,14
97,535,34
63,354,50
66,415,57
67,376,22
53,335,29
74,507,57
22,141,14
52,291,21
79,415,27
34,202,19
40,251,32
119,679,29
68,385,33
105,686,24
42,246,20
56,297,27
199,1279,79
44,248,32
152,858,50
29,163,24
22,120,17
39,237,22
107,594,27
102,636,65
32,182,27
35,238,31
36,229,33
119,667,67
62,437,24
186,1164,143
60,438,29
115,646,65
27,175,17
31,185,23
97,643,11
92,574,48
149,836,49
98,562,44
56,327,21
23,136,12
80,495,49
69,429,47
78,480,52
36,233,31
34,208,29
95,539,41
89,539,40
170,1129,102
73,439,31
56,308,27
56,334,32
38,221,22
47,248,23
83,493,45
54,326,46
91,557,34
175,989,89
54,342,30
60,329,25
114,684,88
102,707,49
72,450,36
53,442,35
92,610,81
37,226,31
23,122,17
107,667,60
46,276,13
36,240,27
74,444,48
178,1155,113
